taxonomy_row,requirement_id,requirement_name,subrequirement_id,subrequirement_name,definition,inputs,outputs,boundary,source_work_object
84,req_008,数据预处理,sub_084,平衡数据类别,通过采样、加权或其他明确策略缓解类别分布失衡。,已有原始数据、变更请求、影响范围和保持条件,满足变更要求且未破坏保持条件的新版原始数据；验收要点：处理前后类别分布可比较，验证集和测试集未被不当重采样。,不生成新的语义样本。,数据
85,req_008,数据预处理,sub_085,增强研究数据,对已有样本施加变换以增加数据的多样性。,生成目标、依据材料、内容要求和约束,符合内容、功能和约束要求的新数据；验收要点：增强映射可追溯，增强样本保持标签或目标约束。,不生成无来源约束的新样本。,数据
86,req_008,数据预处理,sub_086,划分训练验证测试集,按实验协议将样本互斥地分配至训练、验证和测试集合。,多个已有数据集、目标结构、顺序、命名和归属规则,具有明确顺序、层次、命名、归属或版本关系的数据集集合；验收要点：比例和分层条件满足要求，样本身份无跨集合重复。确保训练信息没有通过样本、特征、时间或预处理流程泄漏至评测集合。,要求元素共同运作时使用集成；对象边界：不含由实验评价产生的指标和研究结论。,数据
87,req_009,特征工程,sub_087,提取数据特征,按明确算法从原始或处理后数据计算建模特征。,已读取的数据、提取目标和选择条件,符合条件的数据元素、片段或数值及其原始位置；验收要点：特征计算可复现，形状、类型和取值范围符合定义。,不选择特征。,数据
88,req_009,特征工程,sub_088,比较组间特征差异,计算不同研究组在特征上的差异及统计证据。,两个或多个数据、共同维度、统一口径和比较基准,共同维度下的数据差异、相同点、证据和适用条件；验收要点：组定义、统计量、效应和不确定性可复算。,不执行最终特征筛选。,数据
89,req_009,特征工程,sub_089,去除冗余特征,识别并移除重复表达或高度共线的特征。,候选数据集、选择标准、硬约束和比较证据,被选数据集、选择理由、证据和未选项关键差异；验收要点：冗余判据明确，移除后保留的信息代表项可追溯。,不依据目标相关性筛选。,数据
90,req_009,特征工程,sub_090,筛选有效特征,依据预先规定的预测、稳定性或领域标准保留有用特征。,候选数据集、选择标准、硬约束和比较证据,被选数据集、选择理由、证据和未选项关键差异；验收要点：每个保留或剔除决定均能关联筛选标准和计算结果。,不以冗余为唯一标准。,数据
91,req_009,特征工程,sub_091,筛选差异特征,按预设统计门槛利用组间比较结果选择特征。,候选数据集、选择标准、硬约束和比较证据,被选数据集、选择理由、证据和未选项关键差异；验收要点：筛选结果与门槛、校正方法和比较结果一致。,不重新执行组间统计。,数据
92,req_010,已有仓库代码理解,sub_092,访问代码仓库,定位并取得指定代码仓库及目标版本。,已知目标标识、目标位置以及访问条件,可连接或可打开的代码入口，以及实际访问状态记录；验收要点：仓库、分支或提交与请求一致且文件可读。,不解释代码内容。,代码
93,req_010,已有仓库代码理解,sub_093,解析代码实现,解释代码结构、控制流和数据流。,待解析的代码、结构约定和解析范围,代码的显式结构、组成关系或执行关系表示；验收要点：解释能对应具体文件、符号和调用关系。,不修改代码。,代码
94,req_010,已有仓库代码理解,sub_094,提取核心代码,定位并展示实现指定功能所必需的最小代码范围。,已读取的代码、提取目标和选择条件,符合条件的代码元素、片段或数值及其原始位置；验收要点：片段包含关键入口和依赖位置，且确实实现目标功能。,不改写代码。,代码
95,req_010,已有仓库代码理解,sub_095,核验代码模块,判断指定模块或机制是否在代码中实现。,待核验命题、核验标准、目标范围和可追溯证据,关于源文件命题的成立判断、差异清单和可追溯证据；验收要点：结论引用文件、符号或调用证据；不存在时给出检索范围。,不评价实现完整性。,代码
96,req_010,已有仓库代码理解,sub_096,核验代码完整性,逐项对照方法规格检查整体实现覆盖。,待核验命题、核验标准、目标范围和可追溯证据,关于模块命题的成立判断、差异清单和可追溯证据；验收要点：每项规格标记已实现、部分实现或未实现并附代码证据。,不验证运行正确性。,代码
97,req_011,代码框架设计,sub_097,推导研究方法,从明确理论假设推导算法或模型方案。,设计目标、理论或实践依据、约束和验收要求,包含组成、关系、约束和验收条件的算法定义设计规格；验收要点：设计步骤与理论假设一一对应，推导条件明确。,不负责工程实现。,研究方案
98,req_011,代码框架设计,sub_098,改造研究方法,依据已核验的先进方法重构目标算法方案。,已有研究方法、变更请求、影响范围和保持条件,满足变更要求且未破坏保持条件的新版研究方法；验收要点：借鉴来源、保留部分、改动部分和适配理由明确。,不直接复制实现。,研究方案
99,req_011,代码框架设计,sub_099,实现实验脚手架,建立数据、模型、训练和评估可连接的最小实验框架。,既定规格、接口约束、验收条件和可用实现环境,符合规格且可执行、可调用或可操作的代码实例；验收要点：各入口可调用，最小样本能够贯通全流程。,不执行正式实验。,代码
100,req_011,代码框架设计,sub_100,设计模型架构,规定模型组件、连接关系和张量接口。,设计目标、理论或实践依据、约束和验收要求,包含组成、关系、约束和验收条件的架构设计规格；验收要点：架构图或规格可确定各组件输入输出和形状。,不设计训练损失。,研究方案
101,req_011,代码框架设计,sub_101,设计算法机制,规定算法核心状态、操作和更新规则。,设计目标、理论或实践依据、约束和验收要求,包含组成、关系、约束和验收条件的机制设计规格；验收要点：机制可用伪代码或公式完整执行，无未定义步骤。,不决定软件模块边界。,研究方案
102,req_011,代码框架设计,sub_102,设计损失函数,定义训练目标的计算项、权重和适用样本。,设计目标、理论或实践依据、约束和验收要求,包含组成、关系、约束和验收条件的损失函数设计规格；验收要点：公式、归约方式和边界情况明确且可数值计算。,不实现训练循环。,研究方案
103,req_011,代码框架设计,sub_103,设计代码实现和边界,把论文方法转化为可实施的模块、接口和行为规格，确定组件职责、依赖方向和接口边界。,设计目标、理论或实践依据、约束和验收要求,包含组成、关系、约束和验收条件的代码设计规格；验收要点：规格覆盖输入、输出、状态、依赖和关键算法步骤；每项职责归属唯一，模块依赖无未解释循环。,不编写实现代码。,代码
104,req_011,代码框架设计,sub_104,添加实验观测日志,在指定机制边界添加可观测日志。,已有代码、变更请求、影响范围和保持条件,满足变更要求且未破坏保持条件的新版代码；验收要点：日志在目标条件触发，字段正确且关闭日志不改变输出。,不改变机制计算结果。,代码
105,req_012,算法组件实现,sub_105,实现算法模块,按既定规格实现单一算法模块或研究功能。,既定规格、接口约束、验收条件和可用实现环境,符合规格且可执行、可调用或可操作的代码实例；验收要点：实现满足接口并通过针对该功能的测试。,不负责整体实验评估。,代码
106,req_012,算法组件实现,sub_106,实现算法变体,按给定差异规格实现多个可独立选择的算法变体。,既定规格、接口约束、验收条件和可用实现环境,符合规格且可执行、可调用或可操作的代码实例；验收要点：每个变体与配置一一对应并通过基础运行检查。,不比较性能。,代码
107,req_012,算法组件实现,sub_107,检索可复用开源组件,查找满足接口、许可证和功能要求的开源框架或代码。,检索目标、检索范围、查询条件和允许使用的来源,候选代码清单，以及每项候选的位置、标识和来源记录；验收要点：候选组件有版本、许可证、功能证据和适配差距。,不执行集成。,代码
108,req_012,算法组件实现,sub_108,集成开源组件,把选定开源组件接入现有项目并适配接口。,待连接的多个代码、接口边界和共同运作约束,能够共同运作或形成连贯整体的代码及接口记录；验收要点：目标入口可运行，接口测试通过且原有功能无回归。,不重新选择组件。,代码
109,req_012,算法组件实现,sub_109,核验算法实现等价性,判断不同代码或公式是否在约定条件下实现同一运算。,待核验命题、核验标准、目标范围和可追溯证据,关于源文件命题的成立判断、差异清单和可追溯证据；验收要点：结论给出等价条件、反例检查或数值对照。,不比较性能。,代码
110,req_013,代码更新管理,sub_110,规划代码变更,基于变更目标、现有实现和依赖关系，确定代码修改范围、实施顺序、风险与回退条件。,变更请求、现有代码、接口与依赖关系、保持条件和验收标准,包含受影响文件与模块、修改项、实施顺序、风险、回退条件和验收点的代码变更计划；验收要点：所有修改项均能对应变更目标，关键调用点和回退条件无遗漏。,不直接修改代码，不设计新的研究方法或项目总体架构。,代码
111,req_013,代码更新管理,sub_111,管理代码版本变更,使用版本控制隔离、记录、合并和恢复代码变更，使每项修改可定位、可比较、可回退。,代码仓库、当前分支与提交、待纳入差异、版本管理约定和目标版本,结构清楚的分支、提交、代码差异、合并结果及可用恢复点；验收要点：变更归属和顺序明确，可定位到提交并恢复到指定版本，合并冲突均有处理记录。,不判断代码逻辑是否正确，不负责对外发布研究资产。,代码
112,req_013,代码更新管理,sub_112,修改跨模块代码,为满足同一变更目标，协调修改多个文件或模块并保持接口一致。,现有代码、变更请求、受影响模块与接口、保持条件和验收标准,满足变更要求且接口一致的新版代码；验收要点：相关调用点同步更新，接口契约保持一致，构建和集成检查通过。,不负责设计项目总体架构或新的研究方法；纯结构调整优先归入重构，已定位缺陷的纠正归实验修复。,代码
113,req_013,代码更新管理,sub_113,重构代码,在保持约定外部行为和语义不变的前提下调整代码内部结构。,现有代码、结构问题、接口契约和必须保持的外部行为,结构得到改善且外部行为不变的新版代码、重构映射和回归证据；验收要点：重构前后同一回归测试集结果一致。,不增加主要能力，不改变研究方法，不以修复故障或提升性能指标为主要目标。,代码
114,req_013,代码更新管理,sub_114,核验代码修改,依据变更目标、代码差异、接口约束和测试证据，核验代码修改的完整性、正确性及潜在副作用。,变更目标、修改前后代码与差异、接口契约、测试结果和保持条件,通过或不通过结论、遗漏修改、潜在副作用及可追溯证据；验收要点：每项结论均能关联到具体差异、测试或可复现风险路径。,不直接实施修复，不评价研究方法的性能，不运行正式实验。,代码
115,req_014,代码测试,sub_115,编写单元测试,针对单个函数或模块设计并实现隔离测试，覆盖正常、边界和错误输入。,单个函数或模块、接口规格、预期行为、依赖隔离要求以及正常、边界和错误输入,可执行的单元测试、测试夹具或模拟对象、断言及执行结果；验收要点：关键分支和正常、边界、错误输入均有可重复断言。,只验证隔离的函数或模块，不覆盖模块协作或完整工作流，不修复被测代码。,代码
116,req_014,代码测试,sub_116,编写集成测试,针对多个模块的接口、数据传递和协同行为设计并实现集成测试。,待协作模块、接口契约、数据流、外部依赖、关键成功路径和失败路径,可执行的集成测试、接口与数据流断言及执行结果；验收要点：关键模块组合、接口契约和主要失败路径均被覆盖。,不替代函数级单元测试或完整工作流验收，不修复被测代码。,代码
117,req_014,代码测试,sub_117,编写端到端测试,从真实代码入口到最终产物设计并实现完整工作流测试。,系统入口、代表性工作流场景、运行环境、输入样本和最终产物要求,可执行的端到端测试、场景设置、最终产物断言及执行结果；验收要点：主要用户路径能够从入口运行至产物并满足最终断言。,不替代函数级或接口级定位，不评价方法性能，不修复被测代码。,代码
118,req_014,代码测试,sub_118,执行回归测试,在代码修改前后运行已建立的测试集合，核验原有关键行为是否保持。,修改后的代码、基线版本、回归测试集、基线结果和必须保持的行为,修改前后测试对照、通过或失败明细和回归判断；验收要点：原先通过的关键用例仍通过，新增失败均有可定位的用例和差异证据。,不诊断失败根因，不修复代码，不替代正式实验的性能和科学结论核验。,代码
119,req_015,方法评估,sub_119,选择实验评价指标,根据研究目标、任务特性和评价约束，从已有指标中选择适用的实验评价指标。,研究目标、待评估方法、候选指标、数据特性、评价约束和指标适用证据,选定指标、选择理由、指标方向、适用条件和局限；验收要点：每个研究目标均有对应指标，选择依据可追溯且满足硬约束。,不定义新的评价指标，不实现指标代码，不依据结果选择优胜方法。,研究方案
120,req_015,方法评估,sub_120,设计方法评估协议,规定不同方法共享的数据、预处理、预算、随机性控制、评价指标和评价过程。,待评估方法、选定指标、数据与划分、计算预算、控制变量和公平性约束,包含数据、预处理、预算、随机性、指标计算和异常处理规则的评价协议；验收要点：除目标变量外的比较条件一致，所有例外均有记录。,不生成可执行实验配置，不运行实验，不比较或解释实验结果。,研究方案
121,req_015,方法评估,sub_121,实现实验评价指标,按照已经定义的指标口径和接口要求实现可执行的指标计算代码。,指标定义与公式、输入输出契约、参考实现或已知样例以及边界情况处理规则,可执行的指标实现、测试用例和参考对照结果；验收要点：已知样例与参考实现一致，边界输入处理符合指标定义。,不负责指标定义或选择，不判断待评估方法的性能优劣。,代码
122,req_015,方法评估,sub_122,配置对照实验,依据已确定的对照设计和评估协议，将实验组、对照组和保持不变项编码为可执行配置矩阵。,既定对照设计、方法变体、共同数据与预算、评估协议和实验配置Schema,可执行的对照实验配置矩阵和条件清单；验收要点：矩阵无重复或缺失，实验组与对照组仅在目标变量上存在计划内差异。,不重新设计对照条件，不调度或执行实验，不比较实验结果。,实验
123,req_015,方法评估,sub_123,配置跨模型实验,为不同基座模型建立接口一致、公共变量口径一致且可独立运行的评估配置。,目标基座模型、模型接口与资产、统一评估协议、公共参数和资源约束,各基座模型的可执行配置、接口与参数映射以及可比性检查清单；验收要点：每个基座可独立加载，公共变量口径一致，模型特有例外均有记录。,不选择基座模型，不调度或执行实验，不根据结果比较模型优劣。,实验
124,req_016,实验配置,sub_124,总结实验配置,提炼实验配置的继承关系、参数覆盖和最终生效值。,实验配置文件、继承与覆盖规则、命令行参数和运行版本,配置继承关系、参数来源和最终生效值摘要,不解释训练代码逻辑，不修改实验配置。,实验
125,req_016,实验配置,sub_125,总结训练代码,提炼训练代码的入口、关键模块、调用顺序和主要运行逻辑。,训练代码、运行入口、目标功能和分析范围,训练入口、关键模块、调用关系和运行逻辑摘要,不总结配置继承关系或最终生效参数，不修改训练实现。,代码
126,req_016,实验配置,sub_126,配置实验运行,为每次运行固定并记录配置、随机状态和代码环境版本。,可配置的实验配置、参数要求、目标状态和约束,达到目标参数状态且可复现的实验配置和配置记录；验收要点：任一运行可由记录重建，且结果能关联唯一配置快照。,涉及核心行为变化时不使用配置；对象边界：不含抽象实验设计、源代码和最终研究结论。,实验
127,req_017,任务执行调度,sub_127,调度依赖实验,按依赖关系自动提交和推进实验任务。,待运行任务、依赖关系、资源状态和调度约束,满足依赖和资源约束的任务分配、运行顺序及调度记录；验收要点：任务仅在前置成功后启动，失败和跳过状态可追踪。,不执行过程内部步骤；对象边界：不含抽象实验设计、源代码和最终研究结论。,实验
128,req_017,任务执行调度,sub_128,调度分布式实验,规划、配置并启动跨设备训练任务。,待运行任务、依赖关系、资源状态和调度约束,满足依赖和资源约束的任务分配、运行顺序及调度记录；验收要点：进程拓扑和数据并行关系正确，无重复或遗漏工作单元。,不优化模型超参数。,实验
129,req_017,任务执行调度,sub_129,执行实验,按固定代码、数据和配置启动并完成既定实验。,可执行的实验、输入、配置、资源和完成条件,实验运行输出、完成状态、实际配置和必要日志；验收要点：运行状态明确，实际参数与计划配置一致并产生预期产物。,不负责结果记录。,实验
130,req_018,任务管理监控,sub_130,恢复实验运行,从有效Checkpoint恢复同一实验任务。,中断状态、最近有效状态、依赖和继续条件,能够继续运行的运行实例状态、恢复位置和一致性记录；验收要点：恢复点正确，已完成步骤未重复，后续结果连续。,不重建跨阶段研究上下文。,实验
131,req_018,任务管理监控,sub_131,组织模型检查点,保存、标识和轮换可用于恢复模型状态的Checkpoint。,多个已有实验、目标结构、顺序、命名和归属规则,具有明确顺序、层次、命名、归属或版本关系的实验集合；验收要点：Checkpoint完整并关联运行、步骤和配置，能够成功加载。,要求元素共同运作时使用集成；对象边界：不含抽象实验设计、源代码和最终研究结论。,实验
132,req_018,任务管理监控,sub_132,监控实验进度,持续观测实验阶段、完成比例和存活状态。,运行中或持续变化的实验、观测指标、频率和异常阈值,持续更新的实验状态观测、异常事件和时间信息；验收要点：最新状态和更新时间准确，停滞或退出能被检测。,不诊断异常原因。,实验
133,req_018,任务管理监控,sub_133,记录实验指标,将实验产生的原始指标与运行身份持久化关联。,待留痕的日志事件或状态、记录字段、时间和版本上下文,可持久化、可关联版本且可追溯的日志记录；验收要点：指标值、步骤、时间和运行ID完整且可回溯。,不解释指标。,实验
134,req_018,任务管理监控,sub_134,记录实验日志,连续保存实验输出和关键状态日志。,待留痕的日志事件或状态、记录字段、时间和版本上下文,可持久化、可关联版本且可追溯的日志记录；验收要点：日志覆盖运行生命周期，异常退出前内容未丢失。,不解析日志指标。,实验
135,req_018,任务管理监控,sub_135,提取实验日志指标,从日志中结构化提取指定指标。,已读取的实验、提取目标和选择条件,符合条件的实验元素、片段或数值及其原始位置；验收要点：提取值与原始日志逐项一致并保留位置引用。,不判断趋势。,实验
136,req_018,任务管理监控,sub_136,组织实验产物,组织、标识和保留实验输出及非恢复型中间文件。,多个已有实验、目标结构、顺序、命名和归属规则,具有明确顺序、层次、命名、归属或版本关系的实验集合；验收要点：文件能关联运行与生成步骤，保留和清理策略被执行。,要求元素共同运作时使用集成；对象边界：不含抽象实验设计、源代码和最终研究结论。,实验
137,req_019,实验状态诊断,sub_137,描述训练趋势,分析指标随步骤变化的方向、收敛和波动。,可观察的实验及需要描述的属性或状态维度,针对指定维度的实验可观察属性或状态描述；验收要点：趋势结论由时间序列统计或图形证据支持。,不诊断梯度机制。,实验
138,req_019,实验状态诊断,sub_138,核验实验运行状态,依据日志、进程和指标检测实验是否偏离正常条件。,待核验命题、核验标准、目标范围和可追溯证据,关于实验命题的成立判断、差异清单和可追溯证据；验收要点：判断规则明确，异常时定位首次异常时间和证据。,不定位根因。,实验
139,req_019,实验状态诊断,sub_139,比较数据切片性能,按预定义子群分别统计表现并识别集中失败。,两个或多个研究结果、共同维度、统一口径和比较基准,共同维度下的研究结果差异、相同点、证据和适用条件；验收要点：切片规则互斥或重叠关系明确，指标和失败样本可回溯。,不自动作出采用决定；对象边界：不含承载结果的论文版式和原始运行日志。,实验；数据
140,req_019,实验状态诊断,sub_140,比较实验设置影响,在其他条件受控时估计单项设置变化对性能的影响。,两个或多个研究结果、共同维度、统一口径和比较基准,共同维度下的研究结果差异、相同点、证据和适用条件；验收要点：比较组只改变目标设置，并报告效应和不确定性。,不自动作出采用决定；对象边界：不含承载结果的论文版式和原始运行日志。,实验
141,req_019,实验状态诊断,sub_141,诊断方法失败原因,利用bad case判断算法假设或机制为何失效。,可复现异常、日志或观测证据、正常基线和运行条件,导致实验异常的原因候选、证据链、范围和不确定项；验收要点：失败模式与方法机制存在可验证联系。,不诊断代码实现错误。,实验
142,req_019,实验状态诊断,sub_142,诊断实验异常原因,从日志、错误和状态证据定位运行异常的直接根因。,可复现异常、日志或观测证据、正常基线和运行条件,导致实验异常的原因候选、证据链、范围和不确定项；验收要点：根因假设能解释观察现象，并由复现或排除实验支持。,只定位进程、资源、配置或运行时异常；方法假设失效归入诊断方法失败原因，代码实现偏差归入诊断代码缺陷；不实施修复。,实验
143,req_019,实验状态诊断,sub_143,诊断实验性能瓶颈,测量运行时、吞吐和内存资源以定位系统瓶颈。,可复现异常、日志或观测证据、正常基线和运行条件,导致实验异常的原因候选、证据链、范围和不确定项；验收要点：瓶颈判断有Profiler或资源监控证据及可复现实验。,不调整训练目标。,实验
144,req_019,实验状态诊断,sub_144,诊断代码缺陷,利用bad case定位实现偏差或程序错误。,可复现异常、日志或观测证据、正常基线和运行条件,导致代码异常的原因候选、证据链、范围和不确定项；验收要点：失败样本可触发具体代码路径，修正该路径后症状变化。,不评价方法假设。,代码
145,req_019,实验状态诊断,sub_145,推荐实验停止时机,依据预设停止标准建议继续、提前停止或终止实验。,候选实验、使用目标、评价标准和决策权限,具有依据和适用条件的实验优先建议及权限说明；验收要点：建议对应明确阈值、成本或风险证据。,不直接停止任务。,实验
146,req_020,实验修复,sub_146,修复代码缺陷,实施针对已定位根因的最小代码修复。,已确认异常的代码、失败证据、预期状态和已知原因,恢复预期状态的代码及证明异常消失的证据；验收要点：原失败用例转为通过，相关回归测试不退化。,不附带无关重构。,代码
147,req_020,实验修复,sub_147,执行实验重试,按明确抽样方案重新运行失败或不确定实验。,可执行的实验、测试案例或扰动、预期行为和测试环境,预设条件下的实验测试证据、通过状态和失败明细；验收要点：抽样规则、重试次数和对应运行ID完整记录。,不判断重试结果。,实验
148,req_020,实验修复,sub_148,核验实验重试结果,比较原运行与重试运行，判断结果是否稳定或问题是否复现。,待核验命题、核验标准、目标范围和可追溯证据,关于实验命题的成立判断、差异清单和可追溯证据；验收要点：比较口径一致，并给出一致、复现或仍不确定的证据。,输出连续程度或优劣判断时使用评估；对象边界：不含抽象实验设计、源代码和最终研究结论。,实验
149,req_020,实验修复,sub_149,执行检查点回滚,将实验状态恢复到最近可用检查点，包括模型权重、优化器状态、随机状态、数据迭代位置和日志标记。,,,,实验
150,req_020,实验修复,sub_150,评估实验修复方案,在改码前评估拟议修复能否解决已知根因及其风险。,待评估的实验、评价指标或标准、证据和参照基线,按照标准形成的实验程度或优劣判断、指标和证据；验收要点：方案覆盖根因、依赖和回归风险，给出可测试预测。,只判断明确命题是否成立时使用核验；对象边界：不含抽象实验设计、源代码和最终研究结论。,实验
151,req_021,实验调优,sub_151,优化训练配置,基于诊断证据修改训练配置并验证性能变化。,当前实验、基线、目标指标、搜索空间和资源约束,目标指标相对基线得到验证改善的实验及比较证据；验收要点：改动项唯一可追踪，优化效果在同协议下复现。,只设定参数但不验证改进时使用配置；对象边界：不含抽象实验设计、源代码和最终研究结论。,实验
152,req_021,实验调优,sub_152,识别数据污染,检测评测样本或其近重复是否进入训练数据或调参过程。,待检查的Schema、识别标准、范围和必要上下文,Schema识别结果、位置或影响范围及判断证据；验收要点：匹配方法、阈值和命中样本明确，并区分确认与疑似污染。,不说明深层原因且不评价程度；对象边界：不含由实验评价产生的指标和研究结论。,数据
153,req_021,实验调优,sub_153,搜索超参数组合,在给定搜索空间和预算内运行并比较超参数组合。,当前实验、基线、目标指标、搜索空间和资源约束,目标指标相对基线得到验证改善的实验及比较证据；验收要点：搜索覆盖和预算可追踪，最优配置按预设指标产生。,只设定参数但不验证改进时使用配置；对象边界：不含抽象实验设计、源代码和最终研究结论。,实验
154,req_021,实验调优,sub_154,执行消融实验,按已设计条件运行组件移除、替换或关闭实验。,可执行的实验、测试案例或扰动、预期行为和测试环境,预设条件下的实验测试证据、通过状态和失败明细；验收要点：运行覆盖全部消融条件，非目标条件保持一致。,不解释贡献。,实验
155,req_021,实验调优,sub_155,识别可调参数与信号,从当前实验状态、指标曲线、日志和配置中识别学习率、批次大小、正则、架构超参、数据增强、采样策略等可调对象与对应反馈信号。,,,,实验
156,req_022,实验核验,sub_156,执行敏感性分析,系统改变目标参数或输入因素以测量输出变化率。,可执行的实验、测试案例或扰动、预期行为和测试环境,预设条件下的实验测试证据、通过状态和失败明细；验收要点：变化范围和步长明确，敏感性结果可复算。,普通研究过程运行使用执行；对象边界：不含抽象实验设计、源代码和最终研究结论。,实验
157,req_022,实验核验,sub_157,执行鲁棒性测试,施加噪声、缺失或对抗扰动以评估功能稳定性。,可执行的实验、测试案例或扰动、预期行为和测试环境,预设条件下的实验测试证据、通过状态和失败明细；验收要点：扰动定义明确，报告性能保持程度和失效边界。,普通研究过程运行使用执行；对象边界：不含抽象实验设计、源代码和最终研究结论。,实验
158,req_022,实验核验,sub_158,核验实验可复现性,在控制环境和随机状态后重复运行并量化结果一致性。,待核验命题、核验标准、目标范围和可追溯证据,关于实验命题的成立判断、差异清单和可追溯证据；验收要点：报告跨次均值、方差或一致率以及随机状态。,输出连续程度或优劣判断时使用评估；对象边界：不含抽象实验设计、源代码和最终研究结论。,实验
159,req_022,实验核验,sub_159,评估跨数据集泛化,在同领域独立数据集上评估训练方法的迁移表现。,已训练模型、同领域独立数据集、原测试协议、指标和基线,跨数据集评价指标、与原数据集的差异及泛化判断,只评估同领域独立数据集上的迁移表现；跨领域与明确分布外条件分别归入对应能力。,实验
160,req_022,实验核验,sub_160,评估跨领域泛化,在领域定义发生变化的数据上评估方法迁移表现。,已训练模型、源领域与目标领域定义、领域数据、指标和基线,分领域评价指标、跨领域性能变化及泛化判断,只评估领域定义变化条件下的迁移表现；同领域跨数据集与明确分布外条件分别归入对应能力。,实验
161,req_022,实验核验,sub_161,评估分布外泛化,在明确偏离训练分布的样本上评估方法表现。,已训练模型、分布偏移定义、分布内外样本、指标和基线,分布内外评价指标、性能差异及分布外泛化判断,只评估按偏移规则定义的分布外样本表现；同领域跨数据集与跨领域迁移分别归入对应能力。,实验
162,req_023,结果统计,sub_162,计算描述性统计,汇总样本分布、中心趋势和离散程度。,完整输入值、确定公式或算法、单位和计算口径,口径、单位和算法明确且可复算的统计结果计算结果；验收要点：统计量与数据范围和缺失处理口径一致且可复算。,不执行假设检验。,数据
163,req_023,结果统计,sub_163,计算统计检验结果,按预设零假设和统计模型计算检验结果。,完整输入值、确定公式或算法、单位和计算口径,口径、单位和算法明确且可复算的统计结果计算结果；验收要点：检验条件、统计量、显著性和多重校正可复算。,输入或参数不完整只能近似时使用估算；对象边界：不含承载结果的论文版式和原始运行日志。,数据
164,req_023,结果统计,sub_164,计算效应量,量化组间差异或变量关系的实际大小。,完整输入值、确定公式或算法、单位和计算口径,口径、单位和算法明确且可复算的统计结果计算结果；验收要点：效应量类型适配设计并报告方向和尺度。,不估计区间。,数据
165,req_023,结果统计,sub_165,估算结果不确定性,用置信区间、可信区间或重采样区间量化估计不确定性。,待估未知量、可用部分信息、参数假设和不确定性要求,带参数假设、不确定区间和适用范围的统计结果估算结果；验收要点：区间方法、置信水平和假设条件明确且可复算。,输入充分且结果确定时使用计算；对象边界：不含承载结果的论文版式和原始运行日志。,数据
166,req_024,结果比较,sub_166,评估算法变体,在统一协议下计算各已实现变体的评价结果。,待评估的研究结果、评价指标或标准、证据和参照基线,按照标准形成的研究结果程度或优劣判断、指标和证据；验收要点：所有变体使用相同数据、预算和指标。,不做跨变体结论。,实验
167,req_024,结果比较,sub_167,评估基线模型,在统一协议下测量已复现基线的表现。,待评估的研究结果、评价指标或标准、证据和参照基线,按照标准形成的研究结果程度或优劣判断、指标和证据；验收要点：基线结果关联固定配置并通过结果完整性检查。,不负责复现实现。,实验
168,req_024,结果比较,sub_168,比较研究方法,依据统一评价结果比较研究方法并说明差异。,两个或多个研究结果、共同维度、统一口径和比较基准,共同维度下的研究结果差异、相同点、证据和适用条件；验收要点：比较口径一致，结论同时报告效果、成本和不确定性。,不重新计算单项结果。,实验；研究方案
169,req_025,结果解释,sub_169,解释模型决策机制,用可验证分析说明特定预测或决策的影响因素。,待解释的发现、相关上下文和可用机制证据,对发现意义、关系或机制的解释及对应证据；验收要点：解释与模型输入输出或内部测量一致，并通过扰动或对照检查。,不宣称未经验证的因果机制。,科学问题；数据
170,req_025,结果解释,sub_170,核验研究假设,将实验结果与假设的预期及反证条件逐项对照。,待核验命题、核验标准、目标范围和可追溯证据,关于研究结果命题的成立判断、差异清单和可追溯证据；验收要点：每项判断引用具体结果，并允许支持、不支持或证据不足。,输出连续程度或优劣判断时使用评估；对象边界：不含承载结果的论文版式和原始运行日志。,科学问题
171,req_025,结果解释,sub_171,核验研究结论边界,核对结论的对象、条件和强度是否超过现有证据。,待核验命题、核验标准、目标范围和可追溯证据,关于研究结果命题的成立判断、差异清单和可追溯证据；验收要点：发现的越界结论指出缺失证据或不成立的外推步骤。,输出连续程度或优劣判断时使用评估；对象边界：不含承载结果的论文版式和原始运行日志。,科学问题
172,req_025,结果解释,sub_172,报告负面结果,如实记录未达到预期或不支持假设的实验结果。,待披露的研究结果结果或状态、受众、证据和报告要求,面向指定受众的研究结果结果或状态报告及支撑证据；验收要点：负面结果关联完整运行和预设指标，未被选择性省略。,仅为内部追溯保存信息时使用记录；对象边界：不含承载结果的论文版式和原始运行日志。,实验
173,req_025,结果解释,sub_173,识别研究局限,指出研究设计、数据、方法或证据造成的结论限制。,待检查的局限、识别标准、范围和必要上下文,局限识别结果、位置或影响范围及判断证据；验收要点：每项局限对应具体设计事实或缺失证据。,不说明深层原因且不评价程度；对象边界：不含承载结果的论文版式和原始运行日志。,科学问题；研究方案
174,req_025,结果解释,sub_174,界定研究适用范围,说明方法或结论成立的对象、条件和不适用范围。,需要确立边界的适用边界、使用目的、已有依据和约束,具有名称、含义、边界、取值或判定规则的适用边界定义；验收要点：边界由实验覆盖或理论条件支持，外推部分被标记。,不安排实施顺序且不创建具体实现；对象边界：不含承载结果的论文版式和原始运行日志。,科学问题；研究方案
